Cabinet,,01.03,,,,,,,,,
,,,,,,,,,,,
Blue Cable,,RU 37~38,SWACC62-ASH2,,,,,,,,
Black Cable,,RU 34~35,SWACC63-ASH2,,,,,,,,
White Cable,,RU 34~35,SWACC63-ASH2,,,,,,,,
,,,,,,,,,,,
Server,,RU,Port 1 (100G/MPO),,Port 2 (100G/MPO),,IPMI (White),,IPMI IP,Mask,Gateway
,,,Switch RU,Port,Switch RU,Port,Switch RU,Port,,,
m4.xl-01.03-ru32,,32,37~38,1,34~35,1,34~35,87,10.106.59.7,255.255.255.0,10.106.59.1
m4.xl-01.03-ru31,,31,,2,,2,,88,10.106.59.9,,
m4.xl-01.03-ru30,,30,,3,,3,,89,10.106.59.11,,
m4.xl-01.03-ru29,,29,,4,,4,,90,10.106.59.12,,
m4.xl-01.03-ru28,,28,,5,,5,,91,10.106.59.14,,
m4.xl-01.03-ru26,,26,,6,,6,,92,10.106.59.16,,
m4.xl-01.03-ru25,,25,,7,,7,,93,10.106.59.18,,
m4.xl-01.03-ru24,,24,,8,,8,,94,10.106.59.20,,
m4.xl-01.03-ru23,,23,,9,,9,,95,10.106.59.22,,
m4.xl-01.03-ru22,,22,,10,,10,,96,10.106.59.24,,
